stream	id	x	y
tepee	BDA 1	-114.525988	46.78241797
tepee	BDA 2	-114.5258091	46.78240611
tepee	BDA 3	-114.5257158	46.78244003
tepee	BDA 4	-114.5256355	46.78236817
tepee	BDA 5	-114.5255953	46.78234663
tepee	BDA 6	-114.5255422	46.78226209
tepee	BDA 7	-114.5253939	46.78216426
tepee	BDA 8	-114.5254291	46.78216377
tepee	BDA 9	-114.5252786	46.78207126
tepee	BDA 10	-114.525275	46.78202914
tepee	BDA 11	-114.5251072	46.78195942
tepee	BDA 12	-114.5249822	46.78191234
tepee	BDA 13	-114.5249294	46.78182829
tepee	BDA 14	-114.5248761	46.78173337
fish	BDA 1	-113.3543955	46.93455627
fish	BDA 2	-113.3545273	46.93456723
fish	BDA 3	-113.3546182	46.93462491
fish	BDA 4	-113.3547293	46.93468582
fish	BDA 5	-113.3549044	46.93473521
fish	BDA 6	-113.3548359	46.93471095
fish	BDA 7	-113.3550343	46.93473854
fish	BDA 8	-113.3551691	46.93475325
lost prairie	BDA 1	-113.4542487	47.07704972
lost prairie	BDA 3	-113.4540261	47.07713036
lost prairie	BDA 4	-113.4537754	47.07724741
lost prairie	BDA 5	-113.453675	47.07729383
lost prairie	BDA 6	-113.4535403	47.07731496
lost prairie	BDA 7	-113.4530704	47.07725014
lost prairie	BDA 8	-113.4529382	47.0771663
