date,day of year,method,site,treat,seg,rep,ephemeroptera,ameletus,acentrella,baetis,diphetor,drunella doddsii,drunella grandis,drunella colorodensis,serratella,ephemerella,epeorus,rhithrogina,heptagenia,cinygmula,paraleptophlebia,plecoptera ,capniidae,chloroperlidae,sweltsa,zapada,perlidae,hesperoperla,claassenia,perlodidae,isoperla,skwala,megarcys,diura,doroneuria,paraleuctra,tricoptera,brachycentrus,glossosoma,arctopsyche,hydropsyche,hydroptila,lepidostoma,rhyacohila,limnephilidae,micrasema,neophylax,amiocentrus,neothrema,anagopetus,cheumatopsyche,oligophlebodes,chironomidae,chironomini,orthocladinae,diamisini,tanypodinae,tanytarsini,diptera,ptychopteridae,empididae,syrphidae,ceratopogonidae,dixidae,simulium,antocha,dicronota,hexatoma,tipula,chelifera/neoplasta,culicidae,pericoma,tabanidae,psychodidae,ephydridae,dixa,stratiomyidae,coleoptera,heterlimnius,zaitzevia,dytiscidae,haliplidae,hydraenidae,hydrophilidae,narpus,lara,hemiptera,notonectidae,gyrinidae,gerridae,gastropoda,physa,pisidium,lymnaeidae,gyraulus,acari,oligochaeta,nematoda,turbellaria,lumbricidae,zygoptera,anisoptera,collembola,total ,perchiro,perept
6/7/2021,158,benthic,lp,bda,low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,74,0,57,0,1,16,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,80,0,0,2,12,0,2,0,0,0,0,181,40.88,4.42
6/7/2021,158,benthic,lp,bda,low,2,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,180,0,154,0,0,26,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,1,0,0,0,0,0,0,0,0,46,0,46,0,0,7,75,0,12,0,0,0,0,360,50,9.17
6/7/2021,158,benthic,lp,bda,low,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,78,1,66,0,3,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9,0,9,0,0,10,13,0,12,0,0,0,0,137,56.93,9.49
6/7/2021,158,benthic,lp,bda,mid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,16,10,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,36,0,2,0,0,0,0,89,49.44,0
6/7/2021,158,benthic,lp,bda,mid,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,13,55,0,4,34,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,3,0,0,0,0,0,0,0,0,4,0,4,0,0,0,48,0,11,0,0,0,0,178,59.55,0
6/7/2021,158,benthic,lp,bda,mid,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,97,0,37,0,26,34,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,61,0,61,0,0,0,20,0,18,0,0,0,0,200,48.5,0.5
6/7/2021,158,benthic,lp,bda,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,8,0,4,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,5,0,0,1,3,0,5,0,0,0,0,33,48.48,3.03
6/7/2021,158,benthic,lp,bda,up,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,50,0,30,0,6,14,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,1,223,0,0,0,73,0,17,0,0,0,0,375,13.33,2.13
6/7/2021,158,benthic,lp,bda,up,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,11,0,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,3,3,0,6,0,0,0,0,35,31.43,28.57
6/7/2021,158,benthic,lp,ref,low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,9,33.33,0
