date,day of year,method,site,treat,seg,rep,ephemeroptera,ameletus,acentrella,baetis,diphetor,drunella doddsii,drunella grandis,drunella colorodensis,serratella,ephemerella,epeorus,rhithrogina,heptagenia,cinygmula,paraleptophlebia,plecoptera ,capniidae,chloroperlidae,sweltsa,zapada,perlidae,hesperoperla,claassenia,perlodidae,isoperla,skwala,megarcys,diura,paraleuctra,tricoptera,brachycentrus,glossosoma,arctopsyche,hydropsyche,hydroptila,lepidostoma,rhyacohila,limnephilidae,micrasema,neophylax,amiocentrus,neothrema,oligophlebodes,chironomidae,chironomini,orthocladinae,diamisini,tanypodinae,tanytarsini,diptera,ceratopogonidae,simulium,antocha,dicronota,hexatoma,tipula,chelifera/neoplasta,culicidae,pericoma,tabanidae,stratiomyidae,coleoptera,heterlimnius,zaitzevia,dytiscidae,haliplidae,hydraenidae,hydrophilidae,lara,hemiptera,gerridae,gastropoda,physa,pisidium,lymnaeidae,gyraulus,acari,oligochaeta,nematoda,turbellaria,lumbricidae,zygoptera,total,perchiro,perEPT
06/07/21,158,pan,lp,bda,low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,74,0,57,0,1,16,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,80,0,0,2,12,0,2,0,0,181,40.9,4.4
06/07/21,158,pan,lp,bda,low,2,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,29,0,0,0,0,0,0,0,0,180,0,154,0,0,26,2,2,0,0,0,0,0,0,0,0,0,0,5,2,0,2,1,0,0,0,0,0,46,0,46,0,0,7,75,0,12,0,0,360,50.0,9.2
06/07/21,158,pan,lp,bda,low,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,78,1,66,0,3,8,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9,0,9,0,0,10,13,0,12,0,0,137,56.9,9.5
06/07/21,158,pan,lp,bda,mid,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,16,10,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,36,0,2,0,0,89,49.4,0.0
06/07/21,158,pan,lp,bda,mid,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,13,55,0,4,34,2,2,0,0,0,0,0,0,0,0,0,0,7,0,0,4,3,0,0,0,0,0,4,0,4,0,0,0,48,0,11,0,0,178,59.6,0.0
06/07/21,158,pan,lp,bda,mid,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,97,0,37,0,26,34,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,61,0,61,0,0,0,20,0,18,0,0,200,48.5,0.5
06/07/21,158,pan,lp,bda,up,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,8,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,5,0,0,1,3,0,5,0,0,33,48.5,3.0
06/07/21,158,pan,lp,bda,up,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,7,0,0,0,0,0,50,0,30,0,6,14,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,224,1,223,0,0,0,73,0,17,0,0,375,13.3,2.1
06/07/21,158,pan,lp,bda,up,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,1,0,0,0,0,0,11,0,7,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,3,3,0,6,0,0,35,31.4,28.6
06/07/21,158,pan,lp,ref,low,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,2,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,9,33.3,0.0
